notice_date,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
11/30/2015,Possible Plant Closing,"FC Modular, LLC","Brooklyn Navy Yard 63 Flushing Avenue, Bldg. 293 Brooklyn, NY11205",Kings County,(718) 923-9518,Prefabricated modules manufacturing factory,218,218,may,Economic,There are no bumping rights.,Possible Plant Closing
11/25/2015,Plant Layoff,Jaffe & Asher LLP,"600 East 3rd Avenue New York, NY10016",New York County,(646) 313-2523,Law Offices,75,Approx,2/23/2016,Economic,No union involvement.,Plant Layoff
11/25/2015,Plant Closing,Service America Corporation,"d/b/a Centerplate d/b/a John Harvard's Brew House 2093 Smithhaven Plaza Lake Grove, NY11755",Suffolk County,(864) 248-2091,Restaurant,56,56,2/25/2016,Economic,Employees have no bumping rights.,Plant Closing
11/20/2015,Plant  Closing,Condé Nast(Details Magazine),"One World Trade Center New York, NY 10007",New York County,(212) 286-4572,Publishers,61,61,11/20/2015,Economic,No employees are  represented by unions and no employees have bumping rights.,Plant Closing
1/6/2015,Plant Unit Closing,TLC Health Network/Lake Shore Health Care Center,"Long Term Care Unit 845 Routes 5 & 20 (Main Road) Irving, NY14081",Chautauqua County,(716) 951-7037,Health Center - Long Term Care Unit,70,70,to,Sale of the facility,1199 SEIUUnited Healthcare Workers East,Plant Unit Closing
11/19/2015,Plant Closing,"PCX Aerostructures, LLC","55, 60 & 72 Milbar Boulevard Farmingdale, NY11735",Nassau County,(516) 509-7679,Machine shop,12,12,To,"Relocation of manufacturing work to our operations in Ronkonkoma, New York; Mansfield, Texas; and Newington, CT","Amalgamated Industrial Toy & Novelty Workers of America, Local 223, AFL-CIO",Plant Closing
5/1/2015,Plant Closing,"NBTY, Inc. and NBTY Manufacturing New York, Inc.","5100 & 7000 New Horizons Blvd Amityville, NY11701",Suffolk County,(631) 200-6154,Vitamins and Food Supplements Manufacturer,214,214,To,"Transfer of business to Nellson Nutraceutical, LLC in Irwindale, CA",There are no bumping rights and the affected employees are not represented by any union.,Plant Closing
11/20/2015,Plant Closing,American Express,"Enterprise Growth Business Unit 250 Hudson Street New York, NY33701",New York County,(212) 640-1130,Credit services,45,45,to,Reorganizing,No union representation,Plant Closing
11/18/2015,Plant Closing,"NRG Energy, Inc.","Dunkirk Power Plant 106 Point Drive North Dunkirk, NY14048",Chautauqua County,(315) 349-2369,Power Plant,64,64,to,Economic,International Brotherhood of Electrical Workers - Local Union 97,Plant Closing
8/18/2015,Plant Closing,"Catholic Charities Neighborhood Services, Inc. (Monica House)","161-01 89th Avenue Jamaica, NY11432",Queens County,(718) 722-6181,Monica House is a Community Residence/Single Room Occupancy (CR/SRO) transitional living residence.,26,26,12/31/2015,Building  deterioration and ongoing operating costs for repairs,Local 338 RWDSU/UFCW,Plant Closing
11/17/2015,Plant Closing,"Sodexo, Inc.","Sodexo Dining Services at Catholic Foreign Mission 55 Ryder Road Maryknoll, NY10545",Westchester County,(914) 941-7636Ext 2480,Food Service,38,38,1/15/2016,Loss of contract,Non-Union,Plant Closing
11/16/2015,Plant Layoff,Eastman Kodak,"Eastman Business Park 1999 Lake Avenue Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,2/13/2016,Economic,Bumping rights do not exist.,Plant Layoff
11/17/2015,Plant Closing,IAC Acoustics,"1776Eastchester Road, Suite 210 Bronx, NY10462",Bronx County,(402) 323-7276,Noise Control products and systems,26,26,11/17/2015,Economic,No bumping rights implicated.,Plant Closing
11/10/2015,Plant Layoff,New York Life Insurance Company – Information Technology and Finance Operations,"51 Madison Avenue New York, NY10010",New York County,(212) 576-6598,Life Insurance,36,,to,Relocate some of the company’s Information Technology Operations and finance operations,There is no union representation at this location. Bumping arrangements are not available for affected employees.,Plant Layoff
11/10/2015,Plant  Layoff,New York Life Insurance  Company,"Information Technology and  Finance Operations One Rockwood Road Sleepy Hollow, NY",Westchester County,(212) 576-6598,Life Insurance,23,,To,Relocation of some functions of the Information Technology and finance operations,Bumping arrangements are not available for affected employees.,Plant Layoff
8/11/2015,Plant Closing,Coyne International Enterprises Corp.,"140 Cortland Avenue Syracuse, NY13202",Onondaga County,(315) 475-1626,Commercial Laundry Services,150,150,11/30/2015,Chapter 11 - Possible Sale of Facility,"Local 2607, Teamsters Local 294, Chauffeurs, Teamster, Warehousemen and Helpers Local Union #529, Teamsters Local 317",Plant Closing
11/9/2015,Plant Unit Closing,EmblemHealth Services Company LLC,"441 Ninth Avenue New York, NY10001",New York County,(646) 447-0495,Front End Paper Claims Processing,101,101,2/9/2016,Economic,Local 153 Office & Professional Employees International Union,Plant Unit Closing
10/2/2015,Plant  Closing,Health Republic Insurance of  New York,"30 Broad Street New York, NY 10004",New York County,(646) 760-0620,Insurance Provider,147,147,to,Economic,There are no bumping rights and the affected employees are not represented by a union.,PlantClosing
11/5/2015,Plant Layoff,Eastman Kodak,"Eastman Business Park 343 State Street Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,6,,2/2/2016,Economic,Bumping rights do not exist.,Plant Layoff
6/4/2015,Plant Closing,Getinge Sourcing LLC,"1777 East Henrietta Road Rochester, NY14623",Monroe County,(585) 272-5057,Medical Technology,52,,Postponed,Economic,"International Association of Machinists and Aerospace Workers (AFL-CIO) & International Brotherhood of Boilermakers, Iron, Shipbuilders, Blacksmiths, Forgers, and Helpers",Plant Closing
11/3/2015,Plant Closing,"Ideel, Inc.","620 8th Avenue, 45th Floor New York, NY10018",New York County,(312) 459-5407,Members only online shopping site,63,63,To,Relocating operations to Chicago,The affected employees are not represented by a union.Bumping rights do not exist.,Plant Closing
11/4/2015,Plant Closing,Texas de Brazil Corporation,"Texas de Brazil Churrascaria 1011 3rd Avenue New York, NY10065",New York County,(214) 615-2184,Restaurant,34,34,2/3/2016,Economic,No bumping rights exist.,Plant Closing
10/22/2015,Plant Closing,Jewish Board of Family and Children Services,"Copiague Mental Health Clinic & PROS Possibilities 445 Oak Street Copiague, NY",Suffolk County,(212) 632-4523,Mental Health Clinic,109,109,on,Surrendering it's OMH Clinic License,"District Council 1707, CSEAU, AFSCME, AFL-CIO and Local 215",Plant Closing
10/29/2015,Plant Closing,"Sentry Safe, Inc.","900 Linden Avenue Rochester, NY14650",Monroe County,(414) 766-6206,Metal Products Manufacturing,301,301,to,Relocation of operations,Bumping or transfer rights do not exist in the situation and affected employees are not represented by a labor union.,Plant Closing
10/29/2015,Plant Layoff,Eastman Kodak,"Eastman Business Park 1999 Lake Avenue Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,2,,1/26/2016,Economic,Bumping rights do not exist.,Plant Layoff
5/18/2015,Plant Closing,"Apex Tool Group, LLC","45 Cleveland Street Cortland, NY13045",Cortland County,(607) 756-2821Ext 202,Forgings and Galvanizing,89,89,To,Economic,"United Automobile, Aerospace, and Agricultural Implement Workers of American and its  affiliate U.A.W. Local #1774, U.A.W. Region 9",Plant Closing
10/29/2015,Plant Closing,Binder & Binder,"34 Industrial Street Bronx, NY10461",Bronx County,(888) 851-5467,Social Security Disability Advocates,109,109,1/31/2016,Economic,"United Services Workers Union, IUJAT, Local 455",Plant Closing
10/26/2015,Plant Closing,General Electric Company,"381 Broadway Fort Edward, NY12838",Washington County,(518) 746-5617,Energy Management,127,127,1/23/2016,Relocation of Operations,"Local 332 United Electrical, Radio and Machine Workers",Plant Closing
5/12/2015,Plant Layoff,Oneida Savings Bank,"182 Main Street Oneida, NY13421",Oneida County,(315) 366-3708,Bank - Back office,47,47,to,Merger,Employees are not represented by a union and there are no bumping rights for affected  employees.,Plant Layoff
9/14/2015,Plant Layoff,AT & T,"400 Hamilton Avenue White Plains, NY10601",Westchester County,(212) 803-2616,"Cable Television, cellphone, internet local and long distance phone services",68,,12/21/2015,Economic,CWA Local 1153,Plant Layoff
10/8/2015,Plant Unit Closing,Barclays Capital Inc.,"Wealth and Investment Management Division 745 Seventh Avenue New York, NY10019",New York County,(212) 412-3314,Financial,268,268,to,Economic,No bumping rights exist and none of the employees are represented by a union.,Plant Unit Closing
10/12/2015,,"The Bon Ton Stores, Inc. @ Destiny USA","9570 Destiny USA Drive Syracuse, NY13204",Onondaga County,(414) 212-6789,Retail store,45,45,2/28/2016,Economic,There will be no bumping rights for any affected employee.,Plant Closing
10/19/2015,Plant Closing,"Hillstone Restaurant Group, Inc.","d/b/a Houston's Restaurant Unit 1161-B Roosevelt Field Mall Garden City, NY11530",Nassau County,(602) 553-2111,Restaurant,71,71,12/30/2015,Lease Expiration,Non-union,Plant Closing
10/16/2015,Plant Closing,Jewish Board of Family and Children Services,"Hempstead Mental Health Clinic & Nassau County Care Coordination Programs 175 Fulton Street Hempstead, NY",Nassau County,(212) 632-4523,Mental Health Clinic,72,72,on,Surrendering it's OMH Clinic License,"District Council 1707, CSEAU, AFSCME, AFL-CIO and Local 215",Plant Closing
10/16/2015,Plant Closing,Drew's Food Corporation,"4511-8th Avenue Brooklyn, NY11220",Kings County,(718) 438-8847,Grocery Store,51,51,1/13/2016,Lease expired,"UFCW Local 342, RWDSU Local 338",Plant Closing
10/5/2015,Plant  Closing,"Hunter Ambulette-Ambulance, Inc.","163-15 46th Avenue Flushing, NY11358",Queens County,(212) 688-0888,Emergency Response Services,113,113,1/3/2016,Loss of contract with New York Presbyterian Hospital,"Amalgamated Industrial Toy & Novelty Workers of America, Local  223, AFL-CIO",Plant Closing
10/14/2015,Plant  Layoff,Eastman Kodak,"Eastman Business Park 343 State Street Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,1/11/2016,Economic,Bumping rights  do not exist.,Plant Layoff
8/19/2013,Plant Layoff,Circor Flow Technologies,"Spence Engineering Company 150 Coldenham Road Walden, NY12586",Orange County,(845) 778-6232,Manufacturer of steam specialty & fluid control devices,52,91,Layoffs,Economic,International Association of Machinist and Aerospace Workers Union (IAM),Plant Layoff
10/12/2015,Plant  Layoff,Eastman Kodak,"Eastman Business Park 343 State Street Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,1/9/2016,Economic,Bumping rights  do not exist.,Plant Layoff
10/9/2015,Temporary Plant Closing,Union Square Café,"Union Square Hospitality Group 21 E.16th Street New York, NY10003",New York County,(646) 747-7209,Restaurant,115,115,12/12/2015,Restaurant will be relocated and reopen in the spring of 2016,None of the affected employees have bumping rights.,Temporary Plant Closing
9/30/2015,Plant  Closing,Milleridge Village,"585 North Broadway Jericho, NY 11753",Nassau County,(516) 931-2201,Specialty Shops,27,27,12/31/2015,Economic,There are no  bumping rights and the affected employees are not represented by a union.,Plant Closing
10/5/2015,Plant Closing,CMG YOTEL NYC LLC - CGM YOTEL,"East & West Restaurant 570 10th Avenue New York, NY10036",New York County,(646) 449-7790,Restaurant,71,71,1/3/2016,Termination of restaurant agreement,None of the affected employees have bumping rights.,Plant Closing
9/28/2015,Plant Closing,Corizon Health,"Anna M. Kross Center 18-18 Hazen Street East Elmhurst, NY11370",Queens County,(347) 774-8000,Health Care Provider,246,1147,12/31/2015,Loss of contract,No bumping rights exist.,PlantClosing
10/2/2015,Plant Layoff,Sterling National Bank,"500 7th Avenue New York, NY10018",New York County,(845) 369-8086,Financial Institution,2,,to,Economic,There are no bumping rights.,Plant Layoff
10/1/2015,Plant Layoff,Eastman Kodak,"Eastman Business Park 343 State Street Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,12/31/2015,Economic,Bumping rights do not exist.,Plant Layoff
10/2/2015,Plant Layoff,Barclays - BBPLC NY Branch,"1301 Avenue of the Americas New York, NY",New York County,(212) 412-3314,Financial,38,,The,Economic,There are no bumping rights.,Plant Layoff
10/2/2015,Plant Closing,"New York Skyline, Inc.","350 Fifth Avenue, 2nd Floor and Suite 5320 (Corporate Office) New York, NY10018",New York County,(212) 299-4915,Tourist attraction and Virtual Tour simulator,90,90,1/2/2016,Possible Termination of Lease,Bumping rights do not exist.,Plant Closing
10/1/2015,Plant Closing,"Brasserie Restaurant, LLC","owned by Patina Restaurant Group 100 East 53rd Street New York, NY10022",New York County,(213) 814-3032,Restaurant,68,68,1/3/2016,Economic,There are no bumping rights.,PlantClosing
9/30/2015,Plant Closing,ORAFOL Display Optics Inc.,"500 Lee Road Bldg. 500 Rochester, NY14606",Monroe County,(585) 285-4617,Microstructured Optic components,27,27,12/31/2015,Economic,No bumping rights exist.,Plant Closing
9/30/2015,Plant Closing,Angel 10th Ave. Food Corporation dba McDonald's,"427 10th Avenue New York, NY10001",New York County,(212) 564-7115 x101,Retail Food Establishment,65,65,12/31/2015,Real Estate Sold,There are no bumping rights.,Plant Closing
9/29/2015,Plant Layoff,"Amplify Education, Inc.","55 Washington Street, Suite 900 Brooklyn, NY11201",Kings County,(212) 796-2214,Education enrichment services,184,,9/29/2015,Economic,There are no employee representatives and  bumping rights do not exist.,Plant Layoff
9/29/2015,Plant Layoff,Milberg LLP,"One Pennsylvania Plaza New York, NY10119",New York County,(646) 733-5701,Law Practice,32,,To,Economic,"Employees do not have any transfer, reassignment, or bumping rights.",Plant Layoff
9/23/2015,Plant Layoff,Eastman Kodak,"Eastman Business Park 343 State Street Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,12/30/2015,Economic,Bumping rights do not exist.,Plant Layoff
7/1/2015,Plant Closing,"Wade's Market, Inc., dba Wade's Market Center","6179 Rt. 96 Canandaigua, NY14425",Ontario County,(585) 924-3667 Ext 210,Grocery Store,132,132,To,Economic,-----,Plant Closing
9/24/2015,Plant Closing,Festo Corporation - Regional Service Center,"395 Moreland Road Hauppauge, NY11788",Suffolk County,(631) 404-3167,Engineering and manufacturing of pneumatic parts,33,33,to,Relocation of business to Ohio,Employees have no bumping rights.,Plant Closing
9/21/2015,Plant Layoff,New York Life Insurance Company – Information Technology Operations,"51 Madison Avenue New York, NY10010",New York County,(212) 576-6598,Life Insurance,3,,12/31/2015,Relocate some of the company’s Information Technology Operations,There is no union representation at this location. Bumping arrangements are not available for affected employees.,Plant Layoff
9/21/2015,Plant Layoff,New York Life Insurance Company – Information Technology Operations,"One Rockwood Road Sleepy Hollow, NY",Westchester County,(212) 576-6598,Life Insurance,5,,12/31/2015,Relocation of some functions of the Information Technology operations,Bumping arrangements are not available for affected employees.,Plant Layoff
9/18/2015,Plant Closing,Command Security Corporation,"@ United Airlines - LaGuardia Airport Jamaica, NY11371",Queens County,(703) 464-4735 x10053,Guard and Protection Services,108,108,12/1/2015,Loss of contract with United Airlines at LaGuardia Airport,SEIU Local 32BJ,Plant Closing
9/18/2015,Plant Closing,Command Security Corporation with United Airlines,"@JFK Airport Jamaica, NY 11430",Queens County,(703) 464-4735 Ext 10053,Guard and Protection Services,54,54,10/28/2015,Loss of contract with United Airlines at JFK,SEIU Local 32BJ,Plant Closing
9/21/2015,Plant Closing,"Toys ""R"" Us - Delaware, Inc.","1514 Broadway & 44th Street New York, NY10036",New York County,(646) 366-8841,Retail Toy Store,373,373,12/30/2015,Economic,There are no bumping rights.,Plant Closing
8/12/2015,Potential Plant Closing,"The Great Atlantic & Pacific Tea Company, Inc. (A&P)","(Various locations on Long Island, New York City and Hudson Valley Region) (See below for affected store locations)",Yonkers County,(201) 571-4018,Grocery Store,"13,097",13097,11/12/2015,The company has filed a voluntary petition in the United States Bankruptcy Court for the Southern District of New York under Chapter 11 of the Bankruptcy Code.,"1199 SEIU and UFCW Local 338, 342, 454A, 1262, 1245 and 1500.",Potential Plant Closing
9/14/2015,Plant Closing,Pfizer Inc.,"64 Maple Street Rouses Point, NY 12979",Clinton County,(845) 602-3611,Pharmaceuticals,10,90,12/12/2015,Economic,Local 95c International Chemical Workers Union/UFCW,Plant Closing
9/18/2015,Plant Closing,Daikin Applied,"4900 Technology Park Boulevard Auburn, NY13021",Cayuga County,(315) 282-6296,Air conditioning manufacturing,20,310,(9th,Economic-relocation of operations,"United Steelworkers, Local 32",Plant Closing
9/18/2015,Plant Closing,JPMorgan Chase & Co.,"Chase's Consumer & Community Banking Operations 900 Stewart Avenue Garden City, NY11530",Nassau County,(516) 745-4015,Banking,195,195,12/16/2015,Economic,The affected employees are not represented by a union. No bumping rights exist.,Plant Closing
9/15/2015,Plant Closing,Novartis Pharmaceuticals Corporation,"25 Old Mill Road Suffern, NY 10901",Rockland County,(845) 368-6086,Pharmaceutical Manufacturing,54,----,6th,Economic,No union representation; bumping arrangements are not available for affected employees.,Plant Closing
8/25/2015,Plant Closing,Esterline Norwich Aero Products,"50 O'Hara Drive Norwich, NY13815",Chenango County,(714) 736-7567,Aircraft Engine & Engine Parts Mfg,78,78,To,Economic,No bumping rights exist.,Plant Closing
3/17/2015,Plant Closing,"Pacific Global Advisors, LLC","535 Madison Avenue, Floor 14 New York, NY10022",New York County,(949) 219-3730,Investment advisors,37,37,to,Sale of company,There are no bumping rights. The affected employees are not represented by a union.,Plant Closing
9/10/2015,Plant Layoff,Pfizer Inc.,"401 North Middletown Road Pearl River, NY10965",Rockland County,"Mariana Arteaga, Human Resources Director, Manager & Operational Support
 Phone",Pharmaceutical Products,16,----,To,Company Restructuring,Local 95c ICWU/UFCW,Plant Layoff
7/29/2015,Plant Closing,"Narco Freedom, Inc.","(MMPP) 250 Grand Concourse Bronx, NY10451",Bronx/Kings/Queens County,(718) 292-2240,Alcohol & Substance Abuse Treatment & CASAC Training Centers,8,513,9/21/2015,Economic,No employee will have bumping rights.,Plant Closing
8/31/2015,Plant Closing,Liberty Healthcare  Corporation,"@ Westchester Behavioral  Health Center 100 Woods Road Valhalla, NY 10595",Westchester County,(610) 668-8800,Healthcare,199,199,11/30/2015,Liberty Healthcare Corporation’s contract with the Westchester County  Health Care Corporation to provide health care professionals is being  terminated.,No union  presence at this site.,Plant Closing
9/1/2015,Plant Layoff,"Misys International Banking Systems, Inc.","1180 Avenue of the Americas New York, NY10036",New York County,(972) 707-4637,Bank,54,,layoffs,Relocation of certain operations out of NY State,There are no transfer or bumping rights application and no union represents any of the  affected employees.,Plant Layoff
10/2/2014,Plant Closing,"Market Track, LLC","36-36 33rd Street #501 Long Island City, NY11106",Queens County,(718) 482-4249,Advertising tracking firm,107,approximately,to,Relocation,Bumping rights do not apply.,Plant Closing
5/28/2015,Plant Closing,CBC America Corp,"55 Mall Drive Commack, NY11725",Suffolk County,(631) 930-3405,"Global network of manufacturing, import, export, trading and distribution companies",46,46,to,Relocation of offices to North Carolina,There are no bumping rights and the affected employees are not represented by a union.,Plant Closing
6/22/2015,Plant Closing,Envoy Air Inc.,"John F. Kennedy International Airport JFK Access Rd., Terminal 8 Jamaica, NY11430",Queens County,(631) 960-1764,Aircraft Maintenance,10,10,9/25/2015,Economic,Air Transport Division,Plant Closing
5/22/2015,Plant Closing,"Envoy Air, Inc.:",,Queens County,(972) 374-5203,Crew and Maintenance facilities,693,693,All,Reassignment of personnel to Dallas/Fort Worth & Chicago airports,"Association of Flight Attendants, Air Line Pilots Association",Plant Closing
8/26/2015,Plant Closing,Envoy Air Inc.,"John F. Kennedy International Airport JFK Access Rd., Terminal 8, Building 56 Gate 31 Jamaica, NY11430",Queens County,(972) 374-4794,Airline,1,,11/30/2015,Economic,-----,Plant Closing
7/8/2014,Plant Closing,"Gameloft, Inc.","275 7th Avenue New York, NY 10001",New York County,(212) 994-2505,Game Developer,70,70,70,Economic,Bumping rights do not exist.,Plant Closing
3/25/2013,Plant Closing,SUNY Downstate Medical Center at LICH - StaffCo of Brooklyn LLC,"339 Hicks Street Brooklyn, NY11201",Kings County,(718) 780-1500,Medical Center,61,111,Postponed,Economic,"1199 SEIU United Healthcare Workers East, New York State Nurses Association, Local 30 & 30 A-B-C-D of the International Union of Operating Engineers, and Special and Superior Officers Benevolent Association",Plant Closing
8/17/2015,Plant Closing,Pfizer Inc.,"64 Maple Street Rouses Point, NY 12979",Clinton County,(845) 602-3611,Pharmaceuticals,17,,To,Economic,Local 95c International Chemical Workers Union/UFCW,Plant Closing
8/26/2015,Plant Layoff,Honeywell Scanning and Mobility,"700 Visions Drive POB 208 Skaneateles Falls, NY13153",Onondaga County,(319) 369-3552,Developing and Manufacturing - Clean Energy Systems,1,,12/31/2015,Economic,Employees are not represented by a union and do not have bumping rights.,Plant Layoff
8/21/2015,Plant Closing,"Sears, Roebuck & Co. - Carry In Division","120 Spargnoli Road, Suite 3 Melville, NY11747",Suffolk County,(317) 370-9103,Appliance Repair Division,31,31,During,Economic,There are no bumping or transfer rights at this location.,Plant Closing
8/20/2015,Plant Closing,San Mateo Construction,"152 Fulton Avenue White Plains, NY10606",Westchester County,(914) 428-7421,Construction Company,90,90,8/31/2015,Loss of Contract with Consolidated Edison,Local 143 IBEW,Plant Closing
8/25/2015,Plant Layoff,Sterling National Bank,"111 Brook Street Scarsdale, NY 10583",Westchester County,(845) 369-8086,Financial Institution,3,,to,Merger,There are no bumping rights.,Plant Layoff
8/21/2015,Plant Closing,Restaurant Associates - Capital One Locations,"90 Park Avenue New York, NY10016",New York County,(212) 613-5500,Food Service,11,11,10/12/2015,Loss of Contract,-----,Plant Closing
8/19/2015,Plant Closing,First American International Bank - Forest Hills Branch,"107-50 Queens Blvd Forest Hills, NY11375",Queens County,(631) 881-5197,Bank,2,5(3,11/21/2015,Economic,There is no employee representative.,Plant Closing
8/12/2015,Potential Plant Closing,"The Great Atlantic &  Pacific Tea Company, Inc. (A&P)","(Various locations on Long  Island, New York City and Hudson Valley Region) (See below for affected store  locations)",Yonkers / WIB Name County,(201) 571-4018,Grocery Store,"13,097",13097,11/12/2015,The company has filed a voluntary  petition in the United States Bankruptcy Court for the Southern District of New  York under Chapter 11 of the Bankruptcy Code.,"1199 SEIU and UFCW  Local 338, 342, 454A, 1262, 1245 and 1500.",Potential Plant Closing
6/1/2015,Plant  Closing,,"Nirvana, Inc., and Nirvana  Warehousing, Inc. One Nirvana Plaza Forestport, NY 13338",Oneida County,(315) 942-4900 ext.225,Spring Water Distributor,70,70,Terminations,Chapter 11 Bankruptcy,Employees are not represented by a union. Bumping rights for the affected employees do not exist.,Plant Closing
8/17/2015,Plant Unit Closing,The New York Foundling (Casa  de Paz program),"590 Avenue of the Americas New York, NY 10011",New York County,(212) 886-4037,Emergency shelter for unaccompanied minor children crossing into the United States from Latin America,33,33,9/30/2015,Loss of contract with the U.S. Office of Refugee Resettlement,There are no bumping rights for employees affected by this action and the employees are not represented by any labor union.,Plant unit Closing
8/20/2015,Plant Closing,Thomson Reuters,"117 East Stevens Avenue Valhalla, NY 10595",Westchester County,(914) 239-2966,Investment Firm,37,37,Layoffs,Relocation ofTax & Accounting Customer Service and  Financial Operations functions,None of the affected employees are represented by a union.,Plant Closing
8/18/2015,Plant Closing,Phoenix House - 185th Street  Short Term Residential Program,"480 East 185th Street New York, NY 10458",New York County,(718) 222-6649,Drug Rehabilitation,26,26,11/15/2015,Economic,Bumping rights do not exist and the affected workers are not represented by a union.,Plant Closing
4/1/2015,Plant Closing,Yeshiva University - Albert  Einstein College of Medicine,"1300 Morris Park Avenue Bronx, NY 10461",Bronx County,(718) 430-2541,Medical School,1480,1480,08/31/2015,COM  will take operational control,"1199 SEIU, NYSNA, APTA",Plant Closing
